"id","UDALERRIA_KODEA/COD_MUNICIPIO","UDALERRIA/MUNICIPIO","EKITALDIA/EJERCICIO","EDUKIONTZI_KODEA/COD_CONTENEDOR","EDUKIONTZIAREN MODELOA_CAS/MODELO CONTENEDOR_CAS","HONDAKINAREN FRAKZIOA_CAS/FRACCION DEL RESIDUO_CAS","longitude","latitude","horaMin","horaMax"
896,15,"BASAURI",2020,150,"CARGA VERTICAL","ENVASES LIGEROS","509118,77","4787643,55",0,23
897,15,"BASAURI",2020,151,"IGLU CIRCULAR","ENVASES LIGEROS","510547,66","4786352,07",0,23
898,15,"BASAURI",2020,152,"CARGA VERTICAL","ENVASES LIGEROS","509021,79","4785879,73",0,23
899,15,"BASAURI",2020,153,"CARGA VERTICAL","ENVASES LIGEROS","509143,63","4785258,07",0,23
900,15,"BASAURI",2020,154,"CARGA VERTICAL","ENVASES LIGEROS","509143,51","4785430,31",0,23
901,15,"BASAURI",2020,155,"CARGA VERTICAL","ENVASES LIGEROS","509614,89","4787587,97",0,23
902,15,"BASAURI",2020,156,"CARGA VERTICAL","ENVASES LIGEROS","509519,09","4787537,06",0,23
903,15,"BASAURI",2020,157,"CARGA VERTICAL","ENVASES LIGEROS","508737,3","4787168,49",0,23
904,15,"BASAURI",2020,158,"CARGA VERTICAL","ENVASES LIGEROS","509353,64","4788035,73",0,23
905,92,"BEDIA",2020,1,"CARGA VERTICAL","ENVASES LIGEROS","515975,68","4783956,36",0,23
906,92,"BEDIA",2020,2,"CARGA VERTICAL","ENVASES LIGEROS","516019,79","4784054,6",0,23
907,92,"BEDIA",2020,3,"CARGA VERTICAL","ENVASES LIGEROS","516266,57","4784232,89",0,23
908,92,"BEDIA",2020,4,"CARGA VERTICAL","ENVASES LIGEROS","515309,57","4784732,07",0,23
909,92,"BEDIA",2020,5,"CARGA VERTICAL","ENVASES LIGEROS","515624,9","4784035,99",0,23
910,92,"BEDIA",2020,6,"CARGA VERTICAL","ENVASES LIGEROS","516609,17","4784020,53",0,23
911,92,"BEDIA",2020,7,"CARGA VERTICAL","ENVASES LIGEROS","515197,56","4784842,53",0,23
912,92,"BEDIA",2020,8,"CARGA VERTICAL","ENVASES LIGEROS","516423,46","4784182,15",0,23
